text,speaker_start,speaker_end,speaker_length,speaker,sentence,word_confidence,avg_confidence,min_conf,feed,location,state,feed_name,department,INTPTLON,INTPTLAT,ID_PLACES,text_clean,contains_fire,contains_evac,start_time,end_time
"sixty five area behind a wall . Or , you know , I'm gonna be out with one across from for about six hours across from the old river We're gonna be out with last Maguire first of just eleven . Eighty eight twelve from sixteen . You want to start with a firm with twenty on forever ? I'm gonna be ",211.565,214.715,3.1500000000000057,spk_2,9.0,"[0.6995, 0.7236, 0.9781, 1.0, 0.4078, 0.407, nan, 0.9483, nan, 0.9778, 0.9778, nan, 0.9996, 0.9844, 1.0, 0.5125, 0.9094, 1.0, 0.9696, 1.0, 0.7995, 0.4467, 0.5462, 0.3589, 0.9106, 0.9358, 1.0, 0.9765, 0.9999, 0.1454, 0.7462, 0.9965, 1.0, 0.9421, 0.9567, 0.4476, 1.0, 0.9165, 0.9232, 0.9973, nan, 1.0, 0.9991, 1.0, 1.0, 0.9956, nan, 0.979, 0.6129, 0.6202, 0.9993, 0.9414, 0.9973, 1.0, 0.8564, 1.0, 0.7977, 0.4918, nan, 0.3347, 0.7248, 0.9476]",0.8364071428571428,0.1454,201811080841-581016-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],sixty five area behind a wall or you know i m gonna be out with one across from for about six hours across from the old river we re gonna be out with last maguire first of just eleven eighty eight twelve from sixteen you want to start with a firm with twenty on forever i m gonna be,0,0,2018-11-08 06:44:31-08:00,2018-11-08 06:44:34-08:00
top of the old feather over our way for a girl out the back off the river ,255.925,257.655,1.7299999999999613,spk_1,12.0,"[0.2531, 0.2075, 0.4166, 0.4302, 0.3133, 0.9524, 0.862, 0.7334, 0.9397, 0.7615, 0.8638, 0.9906, 0.3173, 0.4462, 0.5873, 0.5191, 0.7159]",0.6064647058823529,0.2075,201811080841-581016-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],top of the old feather over our way for a girl out the back off the river,0,0,2018-11-08 06:45:15-08:00,2018-11-08 06:45:17-08:00
"Justin Maguire is clear and counting down from further Bernie chatting Find out for a little sixteen Gonna be a second left The more it first melody three innovating should be out of paradise twenty second Christopher James thousand five twenty seven eighty nine Correction on deal He'LL be five seven of eight coming , Orville sixteen thousand should be other RHIB Clear down I think Melody So it is clear me seventy ",1095.899,1097.169,1.2700000000002092,spk_5,34.0,"[0.5408, 0.8856, 0.9149, 1.0, 0.6942, 0.8126, 1.0, 1.0, 0.5075, 0.5601, 0.1715, 0.8134, 0.7554, 0.5485, 0.6171, 0.6244, 0.9813, 0.9072, 0.9944, 0.6783, 0.9873, 0.9251, 0.6919, 0.3378, 0.4517, 1.0, 0.9507, 1.0, 0.617, 1.0, 1.0, 1.0, 1.0, 0.9896, 0.9982, 0.8939, 0.9929, 0.9975, 0.994, 1.0, 1.0, 0.9988, 0.7659, 0.7555, 0.872, 0.5734, 0.3398, 0.6857, 0.8259, 1.0, 0.8864, 0.8913, 0.4068, 0.9923, nan, 0.7043, 1.0, 0.9974, 0.8499, 0.8135, 0.9702, 0.1303, 1.0, 0.761, 0.3779, 0.7846, 0.7802, 0.498, 0.8387, 1.0, 0.8971, 0.8091, 0.9985]",0.8061013888888889,0.1303,201811080841-581016-26936_,['PARADISE'],CA,Oroville_Police_Fire,BOTH,"[-121.6064, -118.602213]","[39.7541919, 37.4828526]","['PARADISE', 'PARADISE']",justin maguire is clear and counting down from further bernie chatting find out for a little sixteen gonna be a second left the more it first melody three innovating should be out of paradise twenty second christopher james thousand five twenty seven eighty nine correction on deal he ll be five seven of eight coming orville sixteen thousand should be other rhib clear down i think melody so it is clear me seventy,0,0,2018-11-08 06:59:15-08:00,2018-11-08 06:59:17-08:00
e ,99.34,99.68,0.3400000000000034,spk_4,2.0,[0.5987],0.5987,0.5987,201811080858-659667-24574_,[],CA,Oroville_Fire,FIRE,[],[],[],e,0,0,2018-11-08 06:59:39-08:00,2018-11-08 06:59:39-08:00
seventy ,99.68,100.14,0.45999999999999375,spk_1,3.0,[0.9993],0.9993,0.9993,201811080858-659667-24574_,[],CA,Oroville_Fire,FIRE,[],[],[],seventy,0,0,2018-11-08 06:59:39-08:00,2018-11-08 06:59:40-08:00
two or I'LL Fire ,1128.799,1129.109,0.30999999999994543,spk_1,35.0,"[0.9717, 0.7541, 0.6176, 0.9976]",0.83525,0.6176,201811080841-581016-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],two or i ll fire,1,0,2018-11-08 06:59:48-08:00,2018-11-08 06:59:49-08:00
Have ,1129.109,1129.359,0.25,spk_5,36.0,[1.0],1.0,1.0,201811080841-581016-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],have,0,0,2018-11-08 06:59:49-08:00,2018-11-08 06:59:49-08:00
is ,1131.979,1134.059,2.0799999999999272,spk_5,39.0,[0.4359],0.4359,0.4359,201811080841-581016-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],is,0,0,2018-11-08 06:59:51-08:00,2018-11-08 06:59:54-08:00
a little time ,1131.849,1131.979,0.13000000000010914,spk_1,38.0,"[1.0, 0.9182, 0.9962]",0.9714666666666667,0.9182,201811080841-581016-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],a little time,0,0,2018-11-08 06:59:51-08:00,2018-11-08 06:59:51-08:00
requesting you know they've got fired but ,1149.099,1149.939,0.8400000000001455,spk_1,41.0,"[0.9937, 0.6304, 0.9006, 0.9492, 0.9199, 0.9991, 0.3531]",0.820857142857143,0.3531,201811080841-581016-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],requesting you know they ve got fired but,1,0,2018-11-08 07:00:09-08:00,2018-11-08 07:00:09-08:00
