content,confidence,start_time,end_time,type,feed
wait,0.3086,38.04,39.28,pronunciation,201811081001-444704-22956_
FIRE,0.9876,39.29,39.88,pronunciation,201811081001-444704-22956_
with,1.0,39.88,40.64,pronunciation,201811081001-444704-22956_
every,0.1804,41.22,41.41,pronunciation,201811081001-444704-22956_
night,0.2812,41.41,41.72,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Thirty,0.6417,52.94,53.39,pronunciation,201811081001-444704-22956_
nine,0.9994,53.39,53.7,pronunciation,201811081001-444704-22956_
quarters,0.5192,59.35,59.7,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Affirmative,0.8876,62.09,62.44,pronunciation,201811081001-444704-22956_
evacuation,0.9996,66.11,66.79,pronunciation,201811081001-444704-22956_
order,0.8254,66.79,67.05,pronunciation,201811081001-444704-22956_
is,0.8142,67.05,67.11,pronunciation,201811081001-444704-22956_
gonna,0.9078,67.12,67.36,pronunciation,201811081001-444704-22956_
pan,0.8141,67.5,67.81,pronunciation,201811081001-444704-22956_
to,0.9081,68.24,68.75,pronunciation,201811081001-444704-22956_
Morgan,0.9592,71.71,72.15,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Arranged,0.2566,72.15,72.46,pronunciation,201811081001-444704-22956_
everything,0.9956,73.52,73.96,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Not,0.3885,78.64,78.85,pronunciation,201811081001-444704-22956_
today,0.4195,79.59,79.84,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Do,0.1588,104.53,104.59,pronunciation,201811081001-444704-22956_
you,0.3322,104.72,104.86,pronunciation,201811081001-444704-22956_
want,0.2955,105.04,105.36,pronunciation,201811081001-444704-22956_
OROVILLE,0.9978,127.5,128.03,pronunciation,201811081001-444704-22956_
nicer,0.872,128.2,128.62,pronunciation,201811081001-444704-22956_
ones,0.5887,128.62,128.83,pronunciation,201811081001-444704-22956_
back,0.9872,128.84,129.07,pronunciation,201811081001-444704-22956_
in,0.9292,129.07,129.17,pronunciation,201811081001-444704-22956_
and,0.99,129.27,129.49,pronunciation,201811081001-444704-22956_
responding,0.5543,129.5,129.97,pronunciation,201811081001-444704-22956_
to,1.0,129.98,130.08,pronunciation,201811081001-444704-22956_
the,0.9917,130.08,130.16,pronunciation,201811081001-444704-22956_
campfire,0.7767,130.17,130.69,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Thank,0.3231,133.65,133.83,pronunciation,201811081001-444704-22956_
you,0.3023,133.85,133.92,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Wait,0.6508,176.18,180.37,pronunciation,201811081001-444704-22956_
a,0.4827,181.06,181.09,pronunciation,201811081001-444704-22956_
little,0.7464,181.1,181.31,pronunciation,201811081001-444704-22956_
bit,0.6761,181.32,181.46,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Here,0.6058,181.9,182.16,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Two,0.7278,187.62,187.95,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
five,0.9967,188.06,188.45,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
five,0.9967,188.46,188.88,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
You,0.9401,199.52,199.63,pronunciation,201811081001-444704-22956_
know,0.9251,199.63,199.73,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
hard,0.9665,199.73,199.93,pronunciation,201811081001-444704-22956_
work,0.9133,199.93,200.07,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
OROVILLE,0.984,205.82,206.36,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Not,0.9948,225.62,225.86,pronunciation,201811081001-444704-22956_
now,0.9812,225.87,226.09,pronunciation,201811081001-444704-22956_
for,0.4855,235.51,235.69,pronunciation,201811081001-444704-22956_
for,0.9611,235.69,235.82,pronunciation,201811081001-444704-22956_
community,0.4564,235.82,236.24,pronunciation,201811081001-444704-22956_
states,0.6384,238.32,238.67,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Airforce,0.6048,238.67,239.13,pronunciation,201811081001-444704-22956_
On,0.2502,244.96,245.07,pronunciation,201811081001-444704-22956_
the,0.8561,245.36,245.46,pronunciation,201811081001-444704-22956_
charge,0.76,245.47,245.81,pronunciation,201811081001-444704-22956_
of,0.5487,245.81,245.91,pronunciation,201811081001-444704-22956_
confirming,1.0,245.92,246.53,pronunciation,201811081001-444704-22956_
a,0.9903,246.53,246.7,pronunciation,201811081001-444704-22956_
staging,1.0,246.84,247.18,pronunciation,201811081001-444704-22956_
area,0.7601,247.18,247.47,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Still,0.9719,247.48,247.83,pronunciation,201811081001-444704-22956_
YANKEE-HILL,0.7319,247.83,248.28,pronunciation,201811081001-444704-22956_
hard,0.6347,248.29,248.52,pronunciation,201811081001-444704-22956_
work,0.6125,248.52,248.69,pronunciation,201811081001-444704-22956_
for,0.7816,250.24,250.59,pronunciation,201811081001-444704-22956_
my,0.4584,251.06,251.19,pronunciation,201811081001-444704-22956_
hard,0.8346,251.2,251.43,pronunciation,201811081001-444704-22956_
work,0.8344,251.43,251.63,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
OROVILLE,0.9841,287.041,287.381,pronunciation,201811081001-444704-22956_
CONCOW,0.9259,287.381,287.681,pronunciation,201811081001-444704-22956_
The,0.4452,359.091,359.191,pronunciation,201811081001-444704-22956_
giant,0.5588,359.201,359.491,pronunciation,201811081001-444704-22956_
PHRASE,0.5944,361.421,361.621,pronunciation,201811081001-444704-22956_
twenty,1.0,377.091,377.411,pronunciation,201811081001-444704-22956_
one,0.9726,377.411,377.601,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Is,0.7899,379.661,379.721,pronunciation,201811081001-444704-22956_
there,0.7914,379.731,379.911,pronunciation,201811081001-444704-22956_
a,0.575,379.921,379.951,pronunciation,201811081001-444704-22956_
draft,0.8815,379.961,380.361,pronunciation,201811081001-444704-22956_
in,0.8665,380.371,380.581,pronunciation,201811081001-444704-22956_
Hoxton,0.1255,380.841,381.451,pronunciation,201811081001-444704-22956_
Road,0.4742,381.451,381.741,pronunciation,201811081001-444704-22956_
with,1.0,381.981,382.201,pronunciation,201811081001-444704-22956_
soulful,0.3445,382.211,382.631,pronunciation,201811081001-444704-22956_
residence,0.5346,382.631,383.161,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
He,0.0975,391.431,391.491,pronunciation,201811081001-444704-22956_
sighs,0.209,392.321,392.761,pronunciation,201811081001-444704-22956_
Camelot,0.9482,393.861,394.391,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
That's,0.9568,395.021,395.251,pronunciation,201811081001-444704-22956_
where,0.7661,395.281,395.411,pronunciation,201811081001-444704-22956_
they,0.9991,395.411,395.731,pronunciation,201811081001-444704-22956_
advise,0.4032,395.781,396.191,pronunciation,201811081001-444704-22956_
people,0.6631,396.401,396.701,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
You,0.6423,402.991,403.081,pronunciation,201811081001-444704-22956_
want,0.6376,403.081,403.271,pronunciation,201811081001-444704-22956_
to,0.7173,403.271,403.331,pronunciation,201811081001-444704-22956_
have,0.8998,403.341,403.511,pronunciation,201811081001-444704-22956_
a,0.9999,403.981,404.481,pronunciation,201811081001-444704-22956_
little,0.7616,404.781,404.971,pronunciation,201811081001-444704-22956_
music,0.7116,404.971,405.331,pronunciation,201811081001-444704-22956_
?,,nan,nan,punctuation,201811081001-444704-22956_
What,0.4656,409.071,409.281,pronunciation,201811081001-444704-22956_
do,0.1871,410.111,410.171,pronunciation,201811081001-444704-22956_
you,0.4605,410.171,410.261,pronunciation,201811081001-444704-22956_
want,0.4685,410.261,410.561,pronunciation,201811081001-444704-22956_
with,0.9999,417.321,417.661,pronunciation,201811081001-444704-22956_
that,1.0,417.671,417.891,pronunciation,201811081001-444704-22956_
order,0.9989,417.891,418.311,pronunciation,201811081001-444704-22956_
?,,nan,nan,punctuation,201811081001-444704-22956_
Good,0.9485,419.201,419.381,pronunciation,201811081001-444704-22956_
Order,0.9987,419.381,419.851,pronunciation,201811081001-444704-22956_
three,1.0,421.101,421.651,pronunciation,201811081001-444704-22956_
Medicated,0.5358,421.851,422.441,pronunciation,201811081001-444704-22956_
thirty,0.9973,435.91,436.12,pronunciation,201811081001-444704-22956_
three,0.9955,436.12,436.31,pronunciation,201811081001-444704-22956_
brand,0.3374,453.27,453.64,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
All,0.4985,458.67,458.74,pronunciation,201811081001-444704-22956_
right,0.6767,458.74,458.95,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
OROVILLE,0.966,564.02,564.37,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
for,0.97,568.25,568.5,pronunciation,201811081001-444704-22956_
twenty,1.0,568.5,568.74,pronunciation,201811081001-444704-22956_
five,1.0,568.74,568.93,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Forty,1.0,568.94,569.26,pronunciation,201811081001-444704-22956_
OROVILLE,0.9672,569.26,569.58,pronunciation,201811081001-444704-22956_
NORD,0.805,574.61,574.85,pronunciation,201811081001-444704-22956_
off,0.9775,575.79,575.98,pronunciation,201811081001-444704-22956_
highway,0.9698,575.99,576.27,pronunciation,201811081001-444704-22956_
seventy,0.9616,576.3,576.62,pronunciation,201811081001-444704-22956_
years,1.0,576.62,576.93,pronunciation,201811081001-444704-22956_
PARADISE,1.0,578.44,578.87,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Affirmative,1.0,589.646,590.206,pronunciation,201811081001-444704-22956_
response,0.996,590.206,590.646,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
Teo,0.4527,590.716,591.126,pronunciation,201811081001-444704-22956_
CONCOW,0.7474,591.386,591.826,pronunciation,201811081001-444704-22956_
.,,nan,nan,punctuation,201811081001-444704-22956_
That,0.2567,595.726,595.926,pronunciation,201811081001-444704-22956_
one,0.4328,595.936,596.086,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
OROVILLE,0.699,604.706,605.136,pronunciation,201811081001-444704-22956_
Water,0.9612,605.136,605.346,pronunciation,201811081001-444704-22956_
ten,0.8582,605.346,605.516,pronunciation,201811081001-444704-22956_
twenty,0.9998,605.526,605.956,pronunciation,201811081001-444704-22956_
seven,0.9628,605.966,606.216,pronunciation,201811081001-444704-22956_
",",,nan,nan,punctuation,201811081001-444704-22956_
